,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
149,RIB Software,http://www.finanzen.net/aktien/RIB_Software-Aktie,DE000A0Z2XN6,A0Z2XN,,Deutschland,RIB.DE,True
150,S&T;,http://www.finanzen.net/aktien/ST-Aktie,AT0000A0E9W5,A0X9EJ,,Österreich,SANT.DE,True
151,Sartorius vz.,http://www.finanzen.net/aktien/Sartorius_vz-Aktie,DE0007165631,716563,SRT3,Deutschland,SRT3.DE,True
152,Siltronic,http://www.finanzen.net/aktien/Siltronic-Aktie,DE000WAF3001,WAF300,WAF,Deutschland,WAF.DE,True
153,SLM Solutions,http://www.finanzen.net/aktien/SLM_Solutions-Aktie,DE000A111338,A11133,,Deutschland,AM3D.DE,True
154,SMA Solar,http://www.finanzen.net/aktien/SMA_Solar-Aktie,DE000A0DJ6J9,A0DJ6J,S92,Deutschland,S92.F,True
155,Software,http://www.finanzen.net/aktien/Software-Aktie,DE000A2GS401,A2GS40,SOW,Deutschland,SOW.DE,True
156,Telefónica Deutschland,http://www.finanzen.net/aktien/Telefonica_Deutschland-Aktie,DE000A1J5RX9,A1J5RX,,Deutschland,O2D.DE,True
157,United Internet,http://www.finanzen.net/aktien/United_Internet-Aktie,DE0005089031,508903,UTDI,Deutschland,UTDI.DE,True
158,Wirecard,http://www.finanzen.net/aktien/Wirecard-Aktie,DE0007472060,747206,IGP,Deutschland,WDI.F,True
159,XING,http://www.finanzen.net/aktien/XING-Aktie,DE000XNG8888,XNG888,,Deutschland,O1BC.DE,True
160,AB InBev SA-NV (Anheuser-Busch InBev),http://www.finanzen.net/aktien/AB_InBev-Aktie,BE0974293251,A2ASUV,,Belgien,1NBA.F,True
161,Ahold Delhaize (Ahold),http://www.finanzen.net/aktien/Ahold_Delhaize-Aktie,NL0011794037,A2ANT0,,Niederlande,AD.AS,True
162,Air Liquide,http://www.finanzen.net/aktien/Air_Liquide-Aktie,FR0000120073,850133,AIL,Frankreich,AIL.F,True
163,ASML NV,http://www.finanzen.net/aktien/ASML-Aktie,NL0010273215,A1J4U4,,Niederlande,ASMF.F,True
164,AXA,http://www.finanzen.net/aktien/AXA-Aktie,FR0000120628,855705,AXA,Frankreich,AXA.F,True
165,BBVA,http://www.finanzen.net/aktien/BBVA-Aktie,ES0113211835,875773,BOY,Spanien,BOY.DE,True
166,BNP Paribas,http://www.finanzen.net/aktien/BNP_Paribas-Aktie,FR0000131104,887771,BNP,Frankreich,BNP.F,True
167,CRH,http://www.finanzen.net/aktien/CRH-Aktie,IE0001827041,864684,CRHCY,Irland,CRG.F,True
168,Danone,http://www.finanzen.net/aktien/Danone-Aktie,FR0000120644,851194,BSN,Frankreich,BSN.F,True
169,Enel,http://www.finanzen.net/aktien/Enel-Aktie,IT0003128367,928624,ENL,Italien,ENL.DE,True
170,Engie SA,http://www.finanzen.net/aktien/Engie-Aktie,FR0010208488,A0ER6Q,,Frankreich,GZF.F,True
171,Eni,http://www.finanzen.net/aktien/Eni-Aktie,IT0003132476,897791,ENT,Italien,ENI.F,True
172,Essilor,http://www.finanzen.net/aktien/Essilor-Aktie,FR0000121667,863195,,Frankreich,ESL.F,True
173,Iberdrola SA,http://www.finanzen.net/aktien/Iberdrola-Aktie,ES0144580Y14,A0M46B,,Spanien,IBE1.F,True
174,Inditex,http://www.finanzen.net/aktien/Inditex-Aktie,ES0148396007,A11873,IXD1,Spanien,IXD1.F,True
175,ING Group,http://www.finanzen.net/aktien/ING-Aktie,NL0011821202,A2ANV3,INN,Niederlande,INN1.F,True
176,Intesa Sanpaolo,http://www.finanzen.net/aktien/Intesa_Sanpaolo-Aktie,IT0000072618,850605,IES,Italien,IES.F,True
177,LOréal,http://www.finanzen.net/aktien/LOréal-Aktie,FR0000120321,853888,LOR,Frankreich,LOR.F,True
178,LVMH Moet Hennessy Louis Vuitton,http://www.finanzen.net/aktien/LVMH-Aktie,FR0000121014,853292,LVMHY,Frankreich,MOH.F,True
179,Nokia,http://www.finanzen.net/aktien/Nokia-Aktie,FI0009000681,870737,NOA3,Finnland,NOA3.F,True
180,Orange,http://www.finanzen.net/aktien/Orange-Aktie,FR0000133308,906849,FTE,Frankreich,FTE.F,True
181,Philips,http://www.finanzen.net/aktien/Philips-Aktie,NL0000009538,940602,PHI1,Niederlande,PHI1.F,True
182,SAFRAN,http://www.finanzen.net/aktien/SAFRAN-Aktie,FR0000073272,924781,SEJ1,Frankreich,SEJ1.F,True
183,Saint-Gobain,http://www.finanzen.net/aktien/Saint-Gobain-Aktie,FR0000125007,872087,GOB,Frankreich,GOB.F,True
